ref,remark,category
TXNP500074,Fuel refill HP petrol,Insurance
TXNP500075,Prime Video subscription,Parking
TXNP500076,Flight booking MakeMyTrip,Wallet
TXNP500077,GST tax payment,Salary
TXNP500078,Electricity bill payment,Salary
TXNP500079,Refund from Amazon,Subscription
TXNP500080,Mobile recharge,Shopping
TXNP500081,Gym membership,Grocery
TXNP500082,Prime Video subscription,Wallet
TXNP500083,Fuel refill HP petrol,Recharge
TXNP500084,Loan EMI debit,Recharge
TXNP500085,Mobile recharge,Shopping
TXNP500086,UPI to grocery,Salary
TXNP500087,Zomato lunch,Parking
TXNP500088,Parking fee,Shopping
TXNP500089,Mobile recharge,Insurance
TXNP500090,Restaurant dinner,Travel
TXNP500091,Wallet top-up,Recharge
TXNP500092,Loan EMI debit,EMI
TXNP500093,Internet broadband bill,Shopping
TXNP500094,Insurance premium debit,Wallet
TXNP500095,Swiggy dinner,Service Expense
TXNP500096,Refund from Amazon,Subscription
TXNP500097,Fuel refill HP petrol,Grocery
TXNP500098,Wallet top-up,Utility
TXNP500099,Fuel refill HP petrol,Subscription
TXNP500100,Restaurant dinner,Travel
TXNP500101,Mobile recharge,Service Expense
TXNP500102,Wallet top-up,Utility
TXNP500103,Parking fee,Wallet
TXNP500104,GST tax payment,Travel
TXNP500105,Wallet top-up,Insurance
TXNP500106,Electricity bill payment,Food
TXNP500107,Office stationery,Salary
TXNP500108,Flight booking MakeMyTrip,Wallet
TXNP500109,Internet broadband bill,Shopping
TXNP500110,Flight booking MakeMyTrip,Food
TXNP500111,Flight booking MakeMyTrip,Subscription
TXNP500112,Prime Video subscription,Food
TXNP500113,Vendor payment,Business Expense
TXNP500114,GST tax payment,Utility
TXNP500115,Prime Video subscription,Insurance
TXNP500116,Gym membership,Parking
TXNP500117,Restaurant dinner,Grocery
TXNP500118,UPI to grocery,Salary
TXNP500119,Internet broadband bill,Food
TXNP500120,Zomato lunch,Grocery
TXNP500121,Loan EMI debit,Travel
TXNP500122,Consulting fee,Subscription
TXNP500123,Internet broadband bill,Food
TXNP500124,Fuel refill HP petrol,Shopping
TXNP500125,Parking fee,Food
TXNP500126,Swiggy dinner,Travel
TXNP500127,Flight booking MakeMyTrip,Salary
TXNP500128,Prime Video subscription,Wallet
TXNP500129,Gym membership,Recharge
TXNP500130,Mobile recharge,Recharge
TXNP500131,Fuel refill HP petrol,Shopping
TXNP500132,Insurance premium debit,Travel
TXNP500133,Parking fee,Grocery
TXNP500134,Vendor payment,Utility
TXNP500135,Consulting fee,Service Expense
TXNP500136,Wallet top-up,Travel
TXNP500137,Electricity bill payment,Salary
TXNP500138,Vendor payment,Shopping
TXNP500139,Fuel refill HP petrol,Utility
TXNP500140,Wallet top-up,Shopping
TXNP500141,Fuel refill HP petrol,Shopping
TXNP500142,GST tax payment,Salary
TXNP500143,Wallet top-up,Food
TXNP500144,UPI to grocery,Travel
TXNP500145,Amazon order,Wallet
TXNP500146,Vendor payment,Insurance
TXNP500147,Gym membership,Salary
TXNP500148,Prime Video subscription,Subscription
TXNP500149,Restaurant dinner,Business Expense
TXNP500150,Office stationery,Tax
TXNP500151,Loan EMI debit,Business Expense
TXNP500152,GST tax payment,Subscription
TXNP500153,Internet broadband bill,Refund
TXNP500154,Insurance premium debit,Utility
TXNP500155,Flight booking MakeMyTrip,Recharge
TXNP500156,Internet broadband bill,Travel
TXNP500157,Zomato lunch,Travel
TXNP500158,Gym membership,Fuel
TXNP500159,Internet broadband bill,Salary
TXNP500160,UPI to grocery,EMI
TXNP500161,Insurance premium debit,Subscription
TXNP500162,Parking fee,Wallet
TXNP500163,Amazon order,Refund
TXNP500164,Prime Video subscription,Shopping
TXNP500165,Flight booking MakeMyTrip,EMI
TXNP500166,Salary credited,Subscription
TXNP500167,Restaurant dinner,Insurance
TXNP500168,Swiggy dinner,Tax
TXNP500169,Office stationery,Food
TXNP500170,Insurance premium debit,Recharge
TXNP500171,Insurance premium debit,Shopping
TXNP500172,Prime Video subscription,Travel
TXNP500173,Amazon order,Food
TXNP500174,Restaurant dinner,Food
TXNP500175,Flight booking MakeMyTrip,Recharge
TXNP500176,Mobile recharge,Subscription
TXNP500177,Restaurant dinner,Salary
TXNP500178,GST tax payment,Business Expense
TXNP500179,Consulting fee,Shopping
TXNP500180,Restaurant dinner,Food
TXNP500181,Salary credited,Salary
TXNP500182,GST tax payment,Shopping
TXNP500183,Netflix subscription,Fuel
TXNP500184,GST tax payment,Salary
TXNP500185,Internet broadband bill,Fuel
TXNP500186,Internet broadband bill,Subscription
TXNP500187,Parking fee,Grocery
TXNP500188,Swiggy dinner,Travel
TXNP500189,Zomato lunch,Food
TXNP500190,Office stationery,Insurance
TXNP500191,Refund from Amazon,Shopping
TXNP500192,Wallet top-up,Utility
TXNP500193,Flight booking MakeMyTrip,Utility
TXNP500194,Netflix subscription,Salary
TXNP500195,Insurance premium debit,Utility
TXNP500196,Office stationery,Insurance
TXNP500197,Gym membership,Service Expense
TXNP500198,Zomato lunch,Business Expense
TXNP500199,Mobile recharge,Insurance
TXNP500200,UPI to grocery,Grocery
TXNP500201,Refund from Amazon,Shopping
TXNP500202,Vendor payment,EMI
TXNP500203,Amazon order,Shopping
TXNP500204,Swiggy dinner,Fuel
TXNP500205,Swiggy dinner,Refund
TXNP500206,Wallet top-up,EMI
TXNP500207,Internet broadband bill,EMI
TXNP500208,Zomato lunch,Business Expense
TXNP500209,Internet broadband bill,Tax
TXNP500210,Salary credited,Shopping
TXNP500211,Restaurant dinner,Subscription
TXNP500212,Vendor payment,Subscription
TXNP500213,Restaurant dinner,EMI
TXNP500214,Mobile recharge,EMI
TXNP500215,Netflix subscription,Fuel
TXNP500216,Parking fee,Subscription
TXNP500217,Vendor payment,Service Expense
TXNP500218,Fuel refill HP petrol,Grocery
TXNP500219,Internet broadband bill,Food
TXNP500220,Loan EMI debit,Refund
TXNP500221,Loan EMI debit,Fuel
TXNP500222,Gym membership,Utility
TXNP500223,Insurance premium debit,Service Expense
TXNP500224,UPI to grocery,Insurance
TXNP500225,Electricity bill payment,Business Expense
TXNP500226,Mobile recharge,Service Expense
TXNP500227,Loan EMI debit,Travel
TXNP500228,Flight booking MakeMyTrip,Food
TXNP500229,GST tax payment,Recharge
TXNP500230,Zomato lunch,Utility
TXNP500231,Restaurant dinner,Insurance
TXNP500232,GST tax payment,Utility
TXNP500233,Salary credited,Insurance
TXNP500234,Gym membership,Shopping
TXNP500235,Loan EMI debit,Grocery
TXNP500236,Fuel refill HP petrol,Utility
TXNP500237,Restaurant dinner,Salary
TXNP500238,Mobile recharge,Travel
TXNP500239,Mobile recharge,Travel
TXNP500240,Electricity bill payment,Fuel
TXNP500241,Restaurant dinner,Utility
TXNP500242,Refund from Amazon,Salary
TXNP500243,Fuel refill HP petrol,Salary
TXNP500244,Swiggy dinner,Utility
TXNP500245,Electricity bill payment,Service Expense
TXNP500246,Refund from Amazon,Shopping
TXNP500247,Loan EMI debit,EMI
TXNP500248,Gym membership,Grocery
TXNP500249,Consulting fee,Shopping
TXNP500250,Flight booking MakeMyTrip,Fuel
TXNP500251,Salary credited,Wallet
TXNP500252,Office stationery,Shopping
TXNP500253,Restaurant dinner,Salary
TXNP500254,Flight booking MakeMyTrip,Food
TXNP500255,Amazon order,Shopping
TXNP500256,Office stationery,Shopping
TXNP500257,Consulting fee,Subscription
TXNP500258,Gym membership,Recharge
TXNP500259,Zomato lunch,Refund
TXNP500260,Parking fee,Food
TXNP500261,Fuel refill HP petrol,Food
TXNP500262,Office stationery,Refund
TXNP500263,Gym membership,Insurance
TXNP500264,Zomato lunch,Travel
TXNP500265,GST tax payment,Utility
TXNP500266,Parking fee,Fuel
TXNP500267,Refund from Amazon,Food
TXNP500268,Amazon order,Service Expense
TXNP500269,Zomato lunch,Recharge
TXNP500270,Loan EMI debit,Refund
TXNP500271,Insurance premium debit,Grocery
TXNP500272,Loan EMI debit,Wallet
TXNP500273,Zomato lunch,Grocery
TXNP500274,Insurance premium debit,EMI
TXNP500275,Mobile recharge,Grocery
TXNP500276,Gym membership,Insurance
TXNP500277,Swiggy dinner,Utility
TXNP500278,Netflix subscription,Food
TXNP500279,Zomato lunch,Subscription
TXNP500280,Consulting fee,Utility
TXNP500281,Electricity bill payment,Fuel
TXNP500282,Flight booking MakeMyTrip,Food
TXNP500283,Office stationery,Salary
TXNP500284,Gym membership,Tax
TXNP500285,Internet broadband bill,Salary
TXNP500286,Salary credited,Fuel
TXNP500287,Refund from Amazon,Refund
TXNP500288,Netflix subscription,Recharge
TXNP500289,Restaurant dinner,Insurance
TXNP500290,Refund from Amazon,Shopping
TXNP500291,Flight booking MakeMyTrip,Salary
TXNP500292,Flight booking MakeMyTrip,Travel
TXNP500293,Insurance premium debit,Refund
TXNP500294,Vendor payment,Business Expense
TXNP500295,Salary credited,Business Expense
TXNP500296,Netflix subscription,Business Expense
TXNP500297,Netflix subscription,Fuel
TXNP500298,Zomato lunch,EMI
TXNP500299,Electricity bill payment,Tax
TXNP500300,Prime Video subscription,Food
TXNP500301,Refund from Amazon,Utility
TXNP500302,Loan EMI debit,Service Expense
TXNP500303,Office stationery,Service Expense
TXNP500304,Fuel refill HP petrol,Food
TXNP500305,UPI to grocery,Salary
TXNP500306,Fuel refill HP petrol,Food
TXNP500307,Mobile recharge,Tax
TXNP500308,Swiggy dinner,Subscription
TXNP500309,Electricity bill payment,Utility
TXNP500310,Insurance premium debit,Salary
TXNP500311,Zomato lunch,Service Expense
TXNP500312,Prime Video subscription,Food
TXNP500313,Restaurant dinner,Refund
TXNP500314,Swiggy dinner,Parking
TXNP500315,Loan EMI debit,Salary
TXNP500316,Mobile recharge,Recharge
TXNP500317,Mobile recharge,Salary
TXNP500318,Zomato lunch,EMI
TXNP500319,Gym membership,Tax
TXNP500320,Office stationery,Food
TXNP500321,UPI to grocery,Parking
TXNP500322,Wallet top-up,Refund
TXNP500323,Swiggy dinner,EMI
TXNP500324,Restaurant dinner,Shopping
TXNP500325,Restaurant dinner,EMI
TXNP500326,Zomato lunch,EMI
TXNP500327,Gym membership,Salary
TXNP500328,Vendor payment,EMI
TXNP500329,Amazon order,Food
TXNP500330,GST tax payment,Travel
TXNP500331,Electricity bill payment,Insurance
TXNP500332,Flight booking MakeMyTrip,Travel
TXNP500333,Gym membership,Salary
TXNP500334,Amazon order,Utility
TXNP500335,Prime Video subscription,Insurance
TXNP500336,Zomato lunch,Fuel
TXNP500337,Salary credited,Salary
TXNP500338,Restaurant dinner,Tax
TXNP500339,Insurance premium debit,Tax
TXNP500340,Loan EMI debit,Refund
TXNP500341,Internet broadband bill,Salary
TXNP500342,Vendor payment,Travel
TXNP500343,Zomato lunch,Wallet
TXNP500344,Gym membership,Tax
TXNP500345,GST tax payment,Travel
TXNP500346,Salary credited,Tax
TXNP500347,Office stationery,Fuel
TXNP500348,Prime Video subscription,Grocery
TXNP500349,Gym membership,Insurance
TXNP500350,Zomato lunch,Recharge
TXNP500351,Swiggy dinner,Travel
TXNP500352,UPI to grocery,Utility
TXNP500353,Mobile recharge,Utility
TXNP500354,Swiggy dinner,Service Expense
TXNP500355,Wallet top-up,Travel
TXNP500356,Prime Video subscription,Subscription
TXNP500357,Amazon order,Travel
TXNP500358,Netflix subscription,Wallet
TXNP500359,GST tax payment,Recharge
TXNP500360,Vendor payment,Service Expense
TXNP500361,Flight booking MakeMyTrip,Wallet
TXNP500362,Office stationery,Recharge
TXNP500363,Parking fee,Utility
TXNP500364,Insurance premium debit,Fuel
TXNP500365,Consulting fee,Travel
TXNP500366,Flight booking MakeMyTrip,Shopping
TXNP500367,Amazon order,Utility
TXNP500368,Restaurant dinner,EMI
TXNP500369,Swiggy dinner,Shopping
TXNP500370,Consulting fee,Utility
TXNP500371,Zomato lunch,Food
TXNP500372,Gym membership,Subscription
TXNP500373,Electricity bill payment,Fuel
TXNP500374,Loan EMI debit,Utility
TXNP500375,Salary credited,Salary
TXNP500376,Insurance premium debit,Insurance
TXNP500377,Parking fee,Food
TXNP500378,Internet broadband bill,Business Expense
TXNP500379,Wallet top-up,Insurance
TXNP500380,Fuel refill HP petrol,Tax
TXNP500381,Vendor payment,Shopping
TXNP500382,Netflix subscription,Insurance
TXNP500383,GST tax payment,Shopping
TXNP500384,Swiggy dinner,Subscription
TXNP500385,UPI to grocery,Recharge
TXNP500386,GST tax payment,EMI
TXNP500387,Mobile recharge,Shopping
TXNP500388,UPI to grocery,Utility
TXNP500389,Amazon order,Insurance
TXNP500390,Office stationery,Shopping
TXNP500391,GST tax payment,Wallet
TXNP500392,Flight booking MakeMyTrip,Shopping
TXNP500393,UPI to grocery,Insurance
TXNP500394,Netflix subscription,Business Expense
TXNP500395,Gym membership,Tax
TXNP500396,Flight booking MakeMyTrip,Travel
TXNP500397,Wallet top-up,Utility
TXNP500398,Swiggy dinner,Salary
TXNP500399,Insurance premium debit,Insurance
TXNP500400,Gym membership,EMI
TXNP500401,Mobile recharge,Food
TXNP500402,Salary credited,Salary
TXNP500403,Consulting fee,Shopping
TXNP500404,Wallet top-up,Salary
TXNP500405,Restaurant dinner,Service Expense
TXNP500406,Mobile recharge,Shopping
TXNP500407,Flight booking MakeMyTrip,Refund
TXNP500408,Swiggy dinner,Salary
TXNP500409,Salary credited,Insurance
TXNP500410,GST tax payment,EMI
TXNP500411,Insurance premium debit,Subscription
TXNP500412,Mobile recharge,Service Expense
TXNP500413,Prime Video subscription,EMI
TXNP500414,UPI to grocery,Subscription
TXNP500415,Netflix subscription,Parking
TXNP500416,Amazon order,Business Expense
TXNP500417,Flight booking MakeMyTrip,Business Expense
TXNP500418,UPI to grocery,Shopping
TXNP500419,Consulting fee,Wallet
TXNP500420,Zomato lunch,Salary
TXNP500421,Refund from Amazon,Grocery
TXNP500422,Restaurant dinner,Parking
TXNP500423,Electricity bill payment,EMI
TXNP500424,Consulting fee,Travel
TXNP500425,Amazon order,Tax
TXNP500426,Loan EMI debit,Service Expense
TXNP500427,Loan EMI debit,Parking
TXNP500428,Prime Video subscription,Shopping
TXNP500429,Office stationery,Salary
TXNP500430,Swiggy dinner,Food
TXNP500431,Wallet top-up,Grocery
TXNP500432,Flight booking MakeMyTrip,Salary
TXNP500433,GST tax payment,EMI
TXNP500434,Parking fee,Tax
TXNP500435,Netflix subscription,Wallet
TXNP500436,Refund from Amazon,EMI
TXNP500437,Vendor payment,Recharge
TXNP500438,Internet broadband bill,Shopping
TXNP500439,GST tax payment,Salary
TXNP500440,UPI to grocery,Travel
TXNP500441,Electricity bill payment,Recharge
TXNP500442,Insurance premium debit,Travel
TXNP500443,Flight booking MakeMyTrip,Salary
TXNP500444,UPI to grocery,Business Expense
TXNP500445,Loan EMI debit,Recharge
TXNP500446,Netflix subscription,Refund
TXNP500447,Prime Video subscription,Recharge
TXNP500448,Amazon order,Service Expense
TXNP500449,Zomato lunch,Wallet
TXNP500450,Vendor payment,Wallet
TXNP500451,Electricity bill payment,Parking
TXNP500452,Insurance premium debit,Travel
TXNP500453,Prime Video subscription,Food
TXNP500454,Mobile recharge,Travel
TXNP500455,Swiggy dinner,Food
TXNP500456,Zomato lunch,Shopping
TXNP500457,Salary credited,Wallet
TXNP500458,Restaurant dinner,Subscription
TXNP500459,Wallet top-up,Subscription
TXNP500460,Prime Video subscription,EMI
TXNP500461,Electricity bill payment,Refund
TXNP500462,Swiggy dinner,Utility
TXNP500463,Amazon order,Parking
TXNP500464,Fuel refill HP petrol,Parking
TXNP500465,Internet broadband bill,Recharge
TXNP500466,Wallet top-up,Tax
TXNP500467,Mobile recharge,Travel
TXNP500468,Netflix subscription,Wallet
TXNP500469,Vendor payment,Salary
TXNP500470,Consulting fee,Food
TXNP500471,Refund from Amazon,Insurance
TXNP500472,Parking fee,Insurance
TXNP500473,UPI to grocery,EMI
TXNP500474,Flight booking MakeMyTrip,Subscription
TXNP500475,Internet broadband bill,Utility
TXNP500476,Office stationery,Fuel
TXNP500477,Fuel refill HP petrol,Insurance
TXNP500478,Swiggy dinner,Insurance
TXNP500479,Wallet top-up,Recharge
TXNP500480,Parking fee,Shopping
TXNP500481,Restaurant dinner,Utility
TXNP500482,Wallet top-up,Recharge
TXNP500483,Vendor payment,Wallet
TXNP500484,Gym membership,Utility
TXNP500485,UPI to grocery,Travel
TXNP500486,Netflix subscription,Food
TXNP500487,Zomato lunch,Insurance
TXNP500488,Restaurant dinner,Business Expense
TXNP500489,Gym membership,Utility
TXNP500490,Mobile recharge,Salary
TXNP500491,Wallet top-up,Tax
TXNP500492,Salary credited,Recharge
TXNP500493,Swiggy dinner,Insurance
TXNP500494,Fuel refill HP petrol,Business Expense
TXNP500495,Salary credited,Tax
TXNP500496,Swiggy dinner,Subscription
TXNP500497,Gym membership,Refund
TXNP500498,Loan EMI debit,Fuel
TXNP500499,Wallet top-up,Food
TXNP500500,Wallet top-up,Utility
TXNP500501,GST tax payment,Wallet
TXNP500502,Netflix subscription,Shopping
TXNP500503,Prime Video subscription,Subscription
TXNP500504,Insurance premium debit,Wallet
TXNP500505,Amazon order,Wallet
TXNP500506,Refund from Amazon,EMI
TXNP500507,Refund from Amazon,Salary
TXNP500508,Salary credited,Salary
TXNP500509,Parking fee,Food
TXNP500510,Insurance premium debit,Salary
TXNP500511,Refund from Amazon,Wallet
TXNP500512,Electricity bill payment,Service Expense
TXNP500513,Netflix subscription,Service Expense
TXNP500514,Mobile recharge,Insurance
TXNP500515,Parking fee,Utility
TXNP500516,Netflix subscription,Service Expense
TXNP500517,GST tax payment,Service Expense
TXNP500518,Internet broadband bill,Utility
TXNP500519,Swiggy dinner,Travel
TXNP500520,Prime Video subscription,Shopping
TXNP500521,Netflix subscription,Tax
TXNP500522,Insurance premium debit,Parking
TXNP500523,Consulting fee,Salary
TXNP500524,Zomato lunch,Subscription
TXNP500525,Office stationery,Recharge
TXNP500526,Consulting fee,Parking
TXNP500527,Salary credited,Food
TXNP500528,Insurance premium debit,Business Expense
TXNP500529,Insurance premium debit,Salary
TXNP500530,Insurance premium debit,EMI
TXNP500531,Flight booking MakeMyTrip,Salary
TXNP500532,GST tax payment,Parking
TXNP500533,Loan EMI debit,Business Expense
TXNP500534,GST tax payment,Business Expense
TXNP500535,Office stationery,Subscription
TXNP500536,Fuel refill HP petrol,Salary
TXNP500537,Consulting fee,Food
TXNP500538,Parking fee,Salary
TXNP500539,Restaurant dinner,Utility
TXNP500540,Gym membership,Shopping
TXNP500541,Zomato lunch,Food
TXNP500542,Wallet top-up,Shopping
TXNP500543,Zomato lunch,Grocery
TXNP500544,UPI to grocery,Utility
TXNP500545,Gym membership,Utility
TXNP500546,Internet broadband bill,Parking
TXNP500547,Electricity bill payment,Travel
TXNP500548,Prime Video subscription,Parking
TXNP500549,Office stationery,Food
TXNP500550,Consulting fee,Shopping
TXNP500551,Flight booking MakeMyTrip,Tax
TXNP500552,Electricity bill payment,EMI
TXNP500553,Fuel refill HP petrol,Shopping
TXNP500554,Vendor payment,Shopping
TXNP500555,Flight booking MakeMyTrip,Grocery
TXNP500556,Mobile recharge,Shopping
TXNP500557,Mobile recharge,EMI
TXNP500558,Insurance premium debit,Insurance
TXNP500559,GST tax payment,Salary
TXNP500560,Gym membership,Utility
TXNP500561,GST tax payment,Tax
TXNP500562,Salary credited,Utility
TXNP500563,Loan EMI debit,EMI
TXNP500564,Netflix subscription,Service Expense
TXNP500565,Internet broadband bill,Utility
TXNP500566,Restaurant dinner,Salary
TXNP500567,Netflix subscription,Fuel
TXNP500568,Flight booking MakeMyTrip,Shopping
TXNP500569,Internet broadband bill,Refund
TXNP500570,Swiggy dinner,Tax
TXNP500571,Swiggy dinner,Grocery
TXNP500572,Salary credited,Wallet
TXNP500573,Mobile recharge,Fuel
TXNP500574,Consulting fee,Grocery
TXNP500575,Office stationery,Recharge
TXNP500576,Refund from Amazon,Shopping
TXNP500577,Zomato lunch,Fuel
TXNP500578,Consulting fee,Salary
TXNP500579,Loan EMI debit,Food
TXNP500580,Zomato lunch,Shopping
TXNP500581,Netflix subscription,Business Expense
TXNP500582,Amazon order,Salary
TXNP500583,Amazon order,Food
TXNP500584,Zomato lunch,Food
TXNP500585,Fuel refill HP petrol,Travel
TXNP500586,Fuel refill HP petrol,Wallet
TXNP500587,Amazon order,Insurance
TXNP500588,Internet broadband bill,Tax
TXNP500589,Mobile recharge,Service Expense
TXNP500590,Restaurant dinner,EMI
TXNP500591,Restaurant dinner,Refund
TXNP500592,Zomato lunch,Business Expense
TXNP500593,Consulting fee,Parking
TXNP500594,Swiggy dinner,Service Expense
TXNP500595,Flight booking MakeMyTrip,EMI
TXNP500596,Fuel refill HP petrol,Utility
TXNP500597,Swiggy dinner,Fuel
TXNP500598,Netflix subscription,Travel
TXNP500599,Wallet top-up,Fuel
TXNP500600,Insurance premium debit,Fuel
TXNP500601,Flight booking MakeMyTrip,Business Expense
TXNP500602,Prime Video subscription,EMI
TXNP500603,Amazon order,Service Expense
TXNP500604,Gym membership,Food
TXNP500605,Gym membership,EMI
TXNP500606,Prime Video subscription,Food
TXNP500607,Prime Video subscription,Travel
TXNP500608,Insurance premium debit,Grocery
TXNP500609,Vendor payment,Utility
TXNP500610,Consulting fee,Subscription
TXNP500611,Consulting fee,Utility
TXNP500612,Zomato lunch,Wallet
TXNP500613,Refund from Amazon,Wallet
TXNP500614,Zomato lunch,Fuel
TXNP500615,Office stationery,Recharge
TXNP500616,GST tax payment,Shopping
TXNP500617,Mobile recharge,Refund
TXNP500618,GST tax payment,EMI
TXNP500619,Restaurant dinner,Insurance
TXNP500620,Restaurant dinner,Grocery
TXNP500621,Zomato lunch,Wallet
TXNP500622,Mobile recharge,Utility
TXNP500623,Salary credited,Shopping
TXNP500624,Consulting fee,Shopping
TXNP500625,Insurance premium debit,Utility
TXNP500626,GST tax payment,Business Expense
TXNP500627,Prime Video subscription,Shopping
TXNP500628,Restaurant dinner,Subscription
TXNP500629,Gym membership,Parking
TXNP500630,Amazon order,Wallet
TXNP500631,Zomato lunch,Grocery
TXNP500632,Internet broadband bill,EMI
TXNP500633,Prime Video subscription,Tax
TXNP500634,Swiggy dinner,EMI
TXNP500635,Swiggy dinner,Salary
TXNP500636,Swiggy dinner,Refund
TXNP500637,Fuel refill HP petrol,Business Expense
TXNP500638,Prime Video subscription,Tax
TXNP500639,Salary credited,Utility
TXNP500640,Netflix subscription,Insurance
TXNP500641,Refund from Amazon,Shopping
TXNP500642,Loan EMI debit,Shopping
TXNP500643,Netflix subscription,Service Expense
TXNP500644,Netflix subscription,Shopping
TXNP500645,Vendor payment,Shopping
TXNP500646,Electricity bill payment,Salary
TXNP500647,Netflix subscription,Service Expense
TXNP500648,Internet broadband bill,Tax
TXNP500649,Swiggy dinner,Recharge
TXNP500650,Salary credited,Travel
TXNP500651,Insurance premium debit,Utility
TXNP500652,Netflix subscription,Food
TXNP500653,Refund from Amazon,EMI
TXNP500654,Restaurant dinner,Grocery
TXNP500655,Internet broadband bill,Fuel
TXNP500656,Prime Video subscription,Subscription
TXNP500657,Office stationery,Salary
TXNP500658,Gym membership,Shopping
TXNP500659,Electricity bill payment,Utility
TXNP500660,Flight booking MakeMyTrip,Shopping
TXNP500661,Salary credited,Subscription
TXNP500662,Netflix subscription,Food
TXNP500663,Prime Video subscription,Food
TXNP500664,Zomato lunch,Travel
TXNP500665,Consulting fee,Utility
TXNP500666,Vendor payment,Fuel
TXNP500667,Fuel refill HP petrol,Food
TXNP500668,Restaurant dinner,Wallet
TXNP500669,GST tax payment,Parking
TXNP500670,Flight booking MakeMyTrip,Travel
TXNP500671,Refund from Amazon,Food
TXNP500672,Restaurant dinner,Business Expense
TXNP500673,Office stationery,Utility
TXNP500674,Parking fee,Salary
TXNP500675,Fuel refill HP petrol,Utility
TXNP500676,Insurance premium debit,EMI
TXNP500677,Loan EMI debit,Fuel
TXNP500678,Mobile recharge,Recharge
TXNP500679,Electricity bill payment,Subscription
TXNP500680,Salary credited,Fuel
TXNP500681,Fuel refill HP petrol,Fuel
TXNP500682,Internet broadband bill,Salary
TXNP500683,GST tax payment,Salary
TXNP500684,GST tax payment,Refund
TXNP500685,Refund from Amazon,Food
TXNP500686,Gym membership,Business Expense
TXNP500687,Netflix subscription,Utility
TXNP500688,GST tax payment,Salary
TXNP500689,Refund from Amazon,Food
TXNP500690,Restaurant dinner,Shopping
TXNP500691,GST tax payment,Salary
TXNP500692,Vendor payment,Travel
TXNP500693,Prime Video subscription,Grocery
TXNP500694,Amazon order,Wallet
TXNP500695,Netflix subscription,Shopping
TXNP500696,Insurance premium debit,Utility
TXNP500697,Restaurant dinner,EMI
TXNP500698,Refund from Amazon,Tax
TXNP500699,GST tax payment,Food
TXNP500700,Electricity bill payment,Travel
TXNP500701,Salary credited,Grocery
TXNP500702,UPI to grocery,Tax
TXNP500703,Gym membership,Shopping
TXNP500704,Gym membership,Insurance
TXNP500705,Swiggy dinner,Wallet
