date_bank,ref,amount_bank,account_bank,narration,date_ledger,amount_ledger,account_ledger,category,remark,match,root_cause,iso_score,iso_is_anomaly,anomaly_reason,amount_diff,days_diff,dup_ref,recommendation
,LGH300016,,,,2025-02-15,-8343.0,202001234568.0,Charge,Unmapped entry,False,Missing in Bank,0.16864432994182155,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300017,,,,2025-06-21,12674.0,202001234569.0,Project Income,Unmapped entry,False,Missing in Bank,0.28673958072429095,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300018,,,,2025-02-24,2516.0,202001234568.0,Misc,Pending doc,False,Missing in Bank,0.059895658332944746,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300019,,,,2025-02-15,-9301.0,202001234567.0,Utility Bills,Unmapped entry,False,Missing in Bank,0.20796990475919241,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300020,,,,2025-04-03,24472.0,202001234567.0,Utility Bills,Manual journal,False,Missing in Bank,0.45663176421045737,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300021,,,,2025-05-31,10341.0,202001234568.0,Expense,Manual journal,False,Missing in Bank,0.23394688879282388,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300022,,,,2025-04-05,6630.0,202001234569.0,Charge,Manual journal,False,Missing in Bank,0.11038978351008799,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300023,,,,2025-06-05,7893.0,202001234567.0,Charge,Pending doc,False,Missing in Bank,0.1651070874385102,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300024,,,,2025-06-14,21374.0,202001234568.0,Utility Bills,Manual journal,False,Missing in Bank,0.4182084053698796,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300025,,,,2025-06-28,6583.0,202001234568.0,Expense,Manual journal,False,Missing in Bank,0.10837418889290185,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300026,,,,2025-05-27,-8006.0,202001234569.0,Charge,Unmapped entry,False,Missing in Bank,0.16454791725393825,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300027,,,,2025-06-05,19784.0,202001234568.0,Expense,Vendor accrual,False,Missing in Bank,0.40325171125244597,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300028,,,,2025-05-02,-3192.0,202001234567.0,Charge,Pending doc,False,Missing in Bank,0.04335444936184196,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
,LGH300029,,,,2025-01-08,39.0,202001234569.0,Misc,Vendor accrual,False,Missing in Bank,0.20749902348661786,False,Missing in Bank,0.0,0.0,0,"Bank entry missing. Check if payment is pending, reversed, or not settled."
2025-01-29,TXN200000,43905.0,202001234569.0,Project Income - Client A,2025-01-29,43905.0,202001234569.0,Charge,Auto-matched,True,Matched,0.41470085601630646,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-03-04,TXN200001,-41976.0,202001234567.0,Travel Booking - IRCTC,2025-03-04,-41976.0,202001234569.0,Utility Bills,Posted,True,Matched,0.4234910026520562,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-06-23,TXN200002,-2581.0,202001234569.0,Fuel Purchase - BPCL,2025-06-23,-2581.0,202001234568.0,Expense,Vendor invoice,True,Matched,0.026185425891735115,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-06-01,TXN200003,-6288.0,202001234567.0,UPI Transfer - to Landlord,2025-06-01,-6288.0,202001234568.0,Project Income,Auto-matched,True,Matched,0.11068199433409731,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-01-24,TXN200004,-4756.0,202001234567.0,ATM Withdrawal - HDFC ATM,2025-01-24,-4756.0,202001234568.0,Project Income,Auto-matched,True,Matched,0.055726432073785026,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-06-04,TXN200005,-861.0,202001234569.0,ATM Withdrawal - SBI ATM,2025-06-04,-1803.0,202001234568.0,Expense,Pending approval,False,Amount Mismatch,0.09838353102498354,False,Unusual Amount Difference,942.0,0.0,0,"Amount mismatch detected. Verify GST, rounding, partial settlement, or double posting."
2025-06-16,TXN200006,66062.0,202001234569.0,Salary Credit - Payroll System,2025-06-16,66062.0,202001234568.0,Expense,Manual entry,True,Matched,0.5284940964409168,True,Multivariate Outlier,0.0,0.0,0,High-risk anomaly: Multivariate Outlier. Investigate supporting documents and approvals.
2025-02-26,TXN200007,-1564.0,202001234569.0,Wallet Top-up - PhonePe,2025-02-26,-1564.0,202001234567.0,ATM,Vendor invoice,True,Matched,0.05358803899248876,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-01-02,TXN200008,-4722.0,202001234569.0,UPI Transfer - to Neha,2025-01-01,-4722.0,202001234568.0,ATM,Vendor invoice,False,Date Mismatch,0.04920213460441869,False,Unusual Date Gap,0.0,1.0,0,Date mismatch. Possible backdated posting or bank settlement delay.
2025-03-29,TXN200009,-8076.0,202001234567.0,Loan EMI - ICICI Loan,2025-03-29,-8076.0,202001234568.0,Project Income,Pending approval,True,Matched,0.19457971220733217,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-03-28,TXN200010,68221.0,202001234567.0,Salary Credit - Company Payroll,2025-03-28,68221.0,202001234569.0,ATM,Vendor invoice,True,Matched,0.5103713658797289,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-01-25,TXN200011,-35102.0,202001234568.0,Travel Booking - Uber,2025-01-25,-35102.0,202001234569.0,Utility Bills,Reconciled,True,Matched,0.45369591191718484,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-03-09,TXN200012,-1528.0,202001234569.0,Food / Dining - Zomato,2025-03-09,-1528.0,202001234567.0,Project Income,Posted,True,Matched,0.0547662151608872,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-05-18,TXN200013,-4237.0,202001234568.0,Online Shopping - Amazon,2025-05-18,-4237.0,202001234569.0,Salary,Auto-matched,True,Matched,0.02636828280260206,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-05-22,TXN200014,-4355.0,202001234569.0,ATM Withdrawal - ICICI ATM,2025-05-22,-3664.0,202001234567.0,Utility Bills,Cleared,False,Amount Mismatch,0.026897983612843346,False,Unusual Amount Difference,691.0,0.0,0,"Amount mismatch detected. Verify GST, rounding, partial settlement, or double posting."
2025-05-28,TXN200015,-2038.0,202001234569.0,ATM Withdrawal - HDFC ATM,2025-05-28,-2038.0,202001234568.0,Expense,Reconciled,True,Matched,0.014437179537428846,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-01-12,TXN200016,-5431.0,202001234567.0,Utility Bill - Gas Agency,2025-01-08,-5431.0,202001234568.0,Misc,Manual entry,False,Date Mismatch,0.07266647261879189,False,Unusual Date Gap,0.0,4.0,0,Date mismatch. Possible backdated posting or bank settlement delay.
2025-03-16,TXN200017,1633.0,202001234567.0,Interest Credit - Quarterly interest,2025-03-16,1633.0,202001234568.0,Utility Bills,Auto-matched,True,Matched,0.046338878164834285,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-04-08,TXN200018,8619.0,202001234568.0,Project Income - ProjectCorp,,,,,,False,Missing in Ledger,0.19837208915632054,False,Missing in Ledger,0.0,0.0,0,Ledger entry missing. Verify vendor invoice and post the ledger entry.
2025-04-04,TXN200019,-793.0,202001234568.0,Utility Bill - Electricity Board,2025-04-04,-793.0,202001234567.0,Charge,Posted,True,Matched,0.09640870465792561,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-02-23,TXN200020,-4090.0,202001234569.0,UPI Transfer - to Vendor,2025-02-23,-4090.0,202001234567.0,Utility Bills,Posted,True,Matched,0.03048320683213901,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-06-05,TXN200021,-4416.0,202001234569.0,ATM Withdrawal - HDFC ATM,2025-06-05,-4416.0,202001234567.0,Salary,Cleared,True,Matched,0.02754632703111337,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-02-11,TXN200022,-3995.0,202001234568.0,Utility Bill - Water Dept,2025-02-11,-3995.0,202001234567.0,Project Income,Manual entry,True,Matched,0.02051489268270812,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-06-13,TXN200023,-3789.0,202001234569.0,Utility Bill - Gas Agency,,,,,,False,Missing in Ledger,0.03302581779456337,False,Missing in Ledger,0.0,0.0,0,Ledger entry missing. Verify vendor invoice and post the ledger entry.
2025-06-25,TXN200024,-388.0,202001234567.0,Bank Fee - Service charge,2025-06-25,-388.0,202001234569.0,Misc,Vendor invoice,True,Matched,0.1399419497061275,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-01-09,TXN200025,-3062.0,202001234568.0,Food / Dining - Swiggy,2025-01-09,-3062.0,202001234568.0,Project Income,Auto-matched,True,Matched,0.01575566882488133,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-01-17,TXN200026,-5807.0,202001234569.0,Online Shopping - Flipkart,2025-01-17,-5807.0,202001234569.0,Charge,Vendor invoice,True,Matched,0.0856229372397842,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-03-22,TXN200027,1844.0,202001234569.0,Interest Credit - Quarterly interest,2025-03-22,1844.0,202001234567.0,Charge,Auto-matched,True,Matched,0.02827592239213128,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-04-12,TXN200028,-2911.0,202001234567.0,UPI Transfer - to Landlord,2025-04-12,-2633.0,202001234568.0,Expense,Reconciled,False,Amount Mismatch,0.7436266059563301,True,Unusual Amount Difference,278.0,0.0,1,"Amount mismatch detected. Verify GST, rounding, partial settlement, or double posting."
2025-04-12,TXN200028,-2911.0,202001234567.0,UPI Transfer - to Landlord,2025-04-11,-2733.0,202001234567.0,Expense,Duplicate/adjustment,False,Amount Mismatch,0.7428142139601601,True,Unusual Date Gap,178.0,1.0,1,"Amount mismatch detected. Verify GST, rounding, partial settlement, or double posting."
2025-02-05,TXN200029,74718.0,202001234569.0,Salary Credit - Company Payroll,2025-02-05,74718.0,202001234569.0,Expense,Cleared,True,Matched,0.5553347599546956,True,Multivariate Outlier,0.0,0.0,0,High-risk anomaly: Multivariate Outlier. Investigate supporting documents and approvals.
2025-05-18,TXN200030,-2402.0,202001234569.0,UPI Transfer - to Vendor,2025-05-18,-2402.0,202001234567.0,Project Income,Auto-matched,True,Matched,0.01747770555791539,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-05-30,TXN200031,-1491.0,202001234568.0,ATM Withdrawal - Axis ATM,2025-05-30,-1491.0,202001234569.0,Expense,Auto-matched,True,Matched,0.05718622304241516,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-02-05,TXN200032,68746.0,202001234568.0,Salary Credit - Payroll System,2025-02-10,68746.0,202001234567.0,Charge,Vendor invoice,False,Date Mismatch,0.5084984406586158,False,Unusual Date Gap,0.0,5.0,0,Date mismatch. Possible backdated posting or bank settlement delay.
2025-01-13,TXN200033,-54043.0,202001234567.0,Travel Booking - MakeMyTrip,2025-01-13,-54043.0,202001234569.0,Misc,Pending approval,True,Matched,0.43573837318715136,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-02-10,TXN200034,-18880.0,202001234569.0,Travel Booking - Ola,2025-02-10,-18880.0,202001234567.0,Expense,Posted,True,Matched,0.4513611551701946,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-04-09,TXN200035,-3740.0,202001234569.0,Food / Dining - Swiggy,2025-04-09,-3740.0,202001234569.0,Expense,Cleared,True,Matched,0.007615834140146549,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-05-16,TXN200036,-2166.0,202001234569.0,Utility Bill - Water Dept,2025-05-16,-2166.0,202001234569.0,Charge,Posted,True,Matched,0.01518275818102044,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-06-24,TXN200037,41504.0,202001234567.0,Salary Credit - Payroll System,2025-06-24,41504.0,202001234569.0,Expense,Auto-matched,True,Matched,0.4173491092734686,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-05-18,TXN200038,-3831.0,202001234569.0,Loan EMI - ICICI Loan,2025-05-18,-3491.0,202001234568.0,Charge,Posted,False,Amount Mismatch,0.021976179246741445,False,Unusual Amount Difference,340.0,0.0,0,"Amount mismatch detected. Verify GST, rounding, partial settlement, or double posting."
2025-01-29,TXN200039,24293.0,202001234568.0,Project Income - ProjectCorp,2025-01-29,24293.0,202001234569.0,Expense,Pending approval,True,Matched,0.48558540625185553,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-04-27,TXN200040,-3705.0,202001234569.0,ATM Withdrawal - SBI ATM,2025-04-27,-3705.0,202001234568.0,Project Income,Vendor invoice,True,Matched,0.005965840905011843,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-03-09,TXN200041,-52.0,202001234567.0,Bank Fee - SMS charge,2025-03-09,-52.0,202001234569.0,Salary,Reconciled,True,Matched,0.35538679610021806,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-01-28,TXN200042,106542.0,202001234568.0,Salary Credit - Payroll System,2025-01-28,106542.0,202001234569.0,Project Income,Pending approval,True,Matched,0.7682445698465117,True,Multivariate Outlier,0.0,0.0,0,High-risk anomaly: Multivariate Outlier. Investigate supporting documents and approvals.
2025-06-13,TXN200043,-1211.0,202001234569.0,Medical / Pharmacy - Practo,2025-06-13,-1211.0,202001234567.0,Utility Bills,Auto-matched,True,Matched,0.06321255965842554,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-02-09,TXN200044,-6371.0,202001234567.0,Online Shopping - Myntra,2025-02-09,-7140.0,202001234567.0,Utility Bills,Posted,False,Amount Mismatch,0.14430335312022335,False,Unusual Amount Difference,769.0,0.0,0,"Amount mismatch detected. Verify GST, rounding, partial settlement, or double posting."
2025-05-16,TXN200045,8937.0,202001234569.0,Refund - Amazon refund,2025-05-16,10065.0,202001234568.0,ATM,Vendor invoice,False,Amount Mismatch,0.2567896957710858,False,Unusual Amount Difference,1128.0,0.0,0,"Amount mismatch detected. Verify GST, rounding, partial settlement, or double posting."
2025-05-06,TXN200046,-3345.0,202001234567.0,Utility Bill - Electricity Board,2025-05-06,-3345.0,202001234567.0,Project Income,Auto-matched,True,Matched,0.02158690787106965,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-04-03,TXN200047,1952.0,202001234567.0,Interest Credit - Savings interest,2025-04-03,3137.0,202001234568.0,Charge,Posted,False,Amount Mismatch,0.058497063451815046,False,Unusual Amount Difference,1185.0,0.0,0,"Amount mismatch detected. Verify GST, rounding, partial settlement, or double posting."
2025-03-03,TXN200048,-6526.0,202001234567.0,UPI Transfer - to Rahul,2025-03-03,-6526.0,202001234567.0,Expense,Reconciled,True,Matched,0.11009660969602364,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-01-18,TXN200049,-1019.0,202001234567.0,ATM Withdrawal - HDFC ATM,2025-01-18,-1019.0,202001234568.0,Salary,Pending approval,True,Matched,0.07614805785177614,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-05-02,TXN200050,-16763.0,202001234568.0,Travel Booking - IRCTC,2025-05-02,-16763.0,202001234567.0,Salary,Vendor invoice,True,Matched,0.4378049790369529,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-06-05,TXN200051,-839.0,202001234567.0,Fuel Purchase - Indian Oil,2025-06-05,-212.0,202001234567.0,Project Income,Posted,False,Amount Mismatch,0.19385231766557043,False,Unusual Amount Difference,627.0,0.0,0,"Amount mismatch detected. Verify GST, rounding, partial settlement, or double posting."
2025-06-26,TXN200052,-6165.0,202001234569.0,Medical / Pharmacy - Apollo,2025-06-26,-6165.0,202001234569.0,Project Income,Posted,True,Matched,0.10735146207001733,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-04-13,TXN200053,-2447.0,202001234569.0,Wallet Top-up - GPay,2025-04-13,-2447.0,202001234569.0,Utility Bills,Vendor invoice,True,Matched,0.017577200986077623,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-04-23,TXN200054,-3941.0,202001234567.0,UPI Transfer - to Landlord,2025-04-23,-3941.0,202001234568.0,Expense,Vendor invoice,True,Matched,0.02205954101187424,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-02-27,TXN200055,-10939.0,202001234568.0,Medical / Pharmacy - Apollo,2025-02-27,-10939.0,202001234567.0,Expense,Cleared,True,Matched,0.2628570008967954,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-05-31,TXN200056,42757.0,202001234567.0,Salary Credit - Payroll System,2025-05-31,42757.0,202001234567.0,Utility Bills,Reconciled,True,Matched,0.41989650166126,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-02-26,TXN200057,-3180.0,202001234567.0,Online Shopping - Amazon,2025-02-26,-3180.0,202001234569.0,Utility Bills,Auto-matched,True,Matched,0.01568342155534963,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-02-28,TXN200058,47716.0,202001234567.0,Salary Credit - Company Payroll,2025-02-28,47716.0,202001234569.0,Misc,Pending approval,True,Matched,0.38664311649984207,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-01-19,TXN200059,-3294.0,202001234567.0,Utility Bill - Gas Agency,2025-01-19,-3294.0,202001234569.0,ATM,Vendor invoice,True,Matched,0.0208490697647985,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-06-21,TXN200060,20250.0,202001234567.0,Project Income - InnovaTech,2025-06-21,20250.0,202001234568.0,Project Income,Auto-matched,True,Matched,0.47842786606519805,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-02-03,TXN200061,-3583.0,202001234567.0,Online Shopping - Ajio,2025-02-03,-3583.0,202001234567.0,Expense,Reconciled,True,Matched,0.001067610160343846,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-05-02,TXN200062,-787.0,202001234567.0,Food / Dining - Swiggy,2025-05-02,-787.0,202001234567.0,Expense,Auto-matched,True,Matched,0.09766968215953375,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-01-25,TXN200063,-5228.0,202001234568.0,Utility Bill - Gas Agency,2025-01-25,-5228.0,202001234569.0,Project Income,Cleared,True,Matched,0.069776924730658,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-04-19,TXN200064,-5098.0,202001234568.0,Online Shopping - Ajio,2025-04-19,-5098.0,202001234569.0,Project Income,Vendor invoice,True,Matched,0.06649573719935098,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-01-14,TXN200065,-1028.0,202001234567.0,UPI Transfer - to Rahul,,,,,,False,Missing in Ledger,0.13689916445034644,False,Missing in Ledger,0.0,0.0,0,Ledger entry missing. Verify vendor invoice and post the ledger entry.
2025-03-28,TXN200066,-1702.0,202001234567.0,ATM Withdrawal - SBI ATM,2025-04-04,-1702.0,202001234569.0,Misc,Auto-matched,False,Date Mismatch,0.046865558289710174,False,Unusual Date Gap,0.0,7.0,0,Date mismatch. Possible backdated posting or bank settlement delay.
2025-02-18,TXN200067,-3216.0,202001234568.0,Food / Dining - Restaurant,2025-02-18,-3216.0,202001234568.0,ATM,Vendor invoice,True,Matched,0.017248642130574754,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-04-19,TXN200068,58373.0,202001234568.0,Salary Credit - Company Payroll,2025-04-19,58849.0,202001234567.0,Salary,Auto-matched,False,Amount Mismatch,0.5173436507287437,True,Unusual Amount Difference,476.0,0.0,0,"Amount mismatch detected. Verify GST, rounding, partial settlement, or double posting."
2025-03-05,TXN200069,-29682.0,202001234568.0,Travel Booking - MakeMyTrip,2025-03-05,-29682.0,202001234567.0,Project Income,Pending approval,True,Matched,0.5053200331932998,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-01-26,TXN200070,-746.0,202001234569.0,Fuel Purchase - HP Petrol,2025-01-26,-746.0,202001234568.0,Utility Bills,Vendor invoice,True,Matched,0.09913674543370465,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-01-04,TXN200071,-3572.0,202001234567.0,Online Shopping - Amazon,2025-01-04,-3572.0,202001234568.0,Expense,Auto-matched,True,Matched,0.004898062614056675,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-04-15,TXN200072,61798.0,202001234568.0,Salary Credit - HRMS Salary,2025-04-15,61798.0,202001234569.0,Salary,Posted,True,Matched,0.5533165834959887,True,Multivariate Outlier,0.0,0.0,0,High-risk anomaly: Multivariate Outlier. Investigate supporting documents and approvals.
2025-04-13,TXN200073,-3125.0,202001234567.0,Food / Dining - Zomato,2025-04-13,-2036.0,202001234568.0,Salary,Pending approval,False,Amount Mismatch,0.048433490578172034,False,Unusual Amount Difference,1089.0,0.0,0,"Amount mismatch detected. Verify GST, rounding, partial settlement, or double posting."
2025-01-01,TXN200074,-8791.0,202001234568.0,Loan EMI - ICICI Loan,2025-01-01,-8791.0,202001234567.0,Charge,Vendor invoice,True,Matched,0.2229029564349545,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-04-27,TXN200075,-2154.0,202001234568.0,Loan EMI - ICICI Loan,2025-05-01,-2154.0,202001234568.0,ATM,Reconciled,False,Date Mismatch,0.01440203074148283,False,Unusual Date Gap,0.0,4.0,0,Date mismatch. Possible backdated posting or bank settlement delay.
2025-06-19,TXN200076,-724.0,202001234568.0,Fuel Purchase - BPCL,2025-06-19,-724.0,202001234567.0,Expense,Cleared,True,Matched,0.1047089811902484,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-02-18,TXN200077,60289.0,202001234567.0,Salary Credit - HRMS Salary,2025-02-12,60289.0,202001234568.0,Expense,Auto-matched,False,Date Mismatch,0.5342979994452366,True,Unusual Date Gap,0.0,6.0,0,Date mismatch. Possible backdated posting or bank settlement delay.
2025-05-29,TXN200078,-5521.0,202001234569.0,Utility Bill - Gas Agency,,,,,,False,Missing in Ledger,0.07208956646735842,False,Missing in Ledger,0.0,0.0,0,Ledger entry missing. Verify vendor invoice and post the ledger entry.
2025-03-22,TXN200079,47989.0,202001234567.0,Salary Credit - Company Payroll,2025-03-22,48268.0,202001234569.0,Expense,Vendor invoice,False,Amount Mismatch,0.3918828498539104,False,Unusual Amount Difference,279.0,0.0,0,"Amount mismatch detected. Verify GST, rounding, partial settlement, or double posting."
2025-05-03,TXN200080,-215.0,202001234569.0,Wallet Top-up - GPay,2025-05-03,-215.0,202001234568.0,Salary,Manual entry,True,Matched,0.20341517452679403,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
2025-01-15,TXN200081,-5711.0,202001234567.0,UPI Transfer - to Rahul,2025-01-15,-5711.0,202001234569.0,Utility Bills,Reconciled,True,Matched,0.08232811928570649,False,Multivariate Outlier,0.0,0.0,0,Reconciled successfully. No action required.
